title,href
Editorial Jara,/wiki/Editorial_Jara
Joc Internacional,/wiki/Joc_Internacional
Editorial Kairós,/wiki/Editorial_Kair%C3%B3s
Kerykion,/wiki/Kerykion
Krausse,/wiki/Krausse
La Tinta del Calamar Ediciones,/wiki/La_Tinta_del_Calamar_Ediciones
Le Cool,/wiki/Le_Cool
Leader Summaries,/wiki/Leader_Summaries
Editorial Lengua de Trapo,/wiki/Editorial_Lengua_de_Trapo
Librería Escarabajal,/wiki/Librer%C3%ADa_Escarabajal
Libros Cúpula,/wiki/Libros_C%C3%BApula
Libros de la ballena,/wiki/Libros_de_la_ballena
Libros del K.O.,/wiki/Libros_del_K.O.
Libros del Zorro Rojo,/wiki/Libros_del_Zorro_Rojo
Linteo,/wiki/Linteo
Literarte editorial,/wiki/Literarte_editorial
Los Libros de la Catarata,/wiki/Los_Libros_de_la_Catarata
Ludotecnia,/wiki/Ludotecnia
Lynx Edicions,/wiki/Lynx_Edicions
M. Moleiro Editor,/wiki/M._Moleiro_Editor
M+D Editores,/wiki/M%2BD_Editores
Ediciones Maisal,/wiki/Ediciones_Maisal
Malpaso Ediciones,/wiki/Malpaso_Ediciones
Maqui Edicions,/wiki/Maqui_Edicions
Ediciones Martínez Roca,/wiki/Ediciones_Mart%C3%ADnez_Roca
MegaMultimedia,/wiki/MegaMultimedia
Miraguano Ediciones,/wiki/Miraguano_Ediciones
Nevsky Prospects,/wiki/Nevsky_Prospects
Nórdica Libros,/wiki/N%C3%B3rdica_Libros
Nosolorol Ediciones,/wiki/Nosolorol_Ediciones
Nova Galicia Edicións,/wiki/Nova_Galicia_Edici%C3%B3ns
Ochodoscuatro Ediciones,/wiki/Ochodoscuatro_Ediciones
Onada Edicions,/wiki/Onada_Edicions
Pagès Editors,/wiki/Pag%C3%A8s_Editors
Páginas de Espuma,/wiki/P%C3%A1ginas_de_Espuma
Ediciones Paidós,/wiki/Ediciones_Paid%C3%B3s
Ediciones Palabra,/wiki/Ediciones_Palabra
Editorial Pálido Fuego,/wiki/Editorial_P%C3%A1lido_Fuego
Pamiela,/wiki/Pamiela
Pearson Educación,/wiki/Pearson_Educaci%C3%B3n
Editorial Periférica,/wiki/Editorial_Perif%C3%A9rica
Grupo Planeta,/wiki/Grupo_Planeta
Planeta DeAgostini,/wiki/Planeta_DeAgostini
Plataforma editorial,/wiki/Plataforma_editorial
Plaza & Janés,/wiki/Plaza_%26_Jan%C3%A9s
Prensa Científica,/wiki/Prensa_Cient%C3%ADfica
Prensa Gráfica,/wiki/Prensa_Gr%C3%A1fica
Editorial Prensa Ibérica,/wiki/Editorial_Prensa_Ib%C3%A9rica
Editorial Pre-Textos,/wiki/Editorial_Pre-Textos
Producciones Editoriales,/wiki/Producciones_Editoriales
Publicacions URV,/wiki/Publicacions_URV
Punto Rojo Libros,/wiki/Punto_Rojo_Libros
Usuario:Jacobo de la Vorágine/Taller,/wiki/Usuario:Jacobo_de_la_Vor%C3%A1gine/Taller
Raspabook,/wiki/Raspabook
RBA,/wiki/RBA
Editorial Reediciones Anómalas,/wiki/Editorial_Reediciones_An%C3%B3malas
Editorial Renacimiento,/wiki/Editorial_Renacimiento
Editorial Reverté,/wiki/Editorial_Revert%C3%A9
Editorial Riodelaire,/wiki/Editorial_Riodelaire
Ruedo ibérico,/wiki/Ruedo_ib%C3%A9rico
Ediciones Salamandra,/wiki/Ediciones_Salamandra
Editorial Salvat,/wiki/Editorial_Salvat
SARPE,/wiki/SARPE
Sepín Editorial Jurídica,/wiki/Sep%C3%ADn_Editorial_Jur%C3%ADdica
Servicio de Publicaciones (Universidad Complutense de Madrid),/wiki/Servicio_de_Publicaciones_(Universidad_Complutense_de_Madrid)
Siglo XXI de España Editores,/wiki/Siglo_XXI_de_Espa%C3%B1a_Editores
Signo Editores,/wiki/Signo_Editores
Sílex ediciones,/wiki/S%C3%ADlex_ediciones
Editorial Siloé,/wiki/Editorial_Silo%C3%A9
Ediciones Siruela,/wiki/Ediciones_Siruela
Sociedad Editora Universal,/wiki/Sociedad_Editora_Universal
Sociedad Editorial de España,/wiki/Sociedad_Editorial_de_Espa%C3%B1a
Ediciones Sombra,/wiki/Ediciones_Sombra
Taller de Cuentos,/wiki/Taller_de_Cuentos
Tandaia,/wiki/Tandaia
Taurus (editorial),/wiki/Taurus_(editorial)
Usuario:Thething73/TallerA,/wiki/Usuario:Thething73/TallerA
Timunmas,/wiki/Timunmas
Titánica,/wiki/Tit%C3%A1nica
Ediciones de la Torre,/wiki/Ediciones_de_la_Torre
Traficantes de sueños,/wiki/Traficantes_de_sue%C3%B1os
Trama Editorial,/wiki/Trama_Editorial
Editorial Trieste,/wiki/Editorial_Trieste
Editorial Trotta,/wiki/Editorial_Trotta
Tusquets Editores,/wiki/Tusquets_Editores
Txalaparta (editorial),/wiki/Txalaparta_(editorial)
Unidad Editorial,/wiki/Unidad_Editorial
