2009(82nd), Inglourious Basterds, Quentin Tarantino, 0
2010(83rd), The King's Speech, Tom Hooper, 1
2010(83rd), Black Swan, Darren Aronofsky, 0
2010(83rd), True Grit, Coen Brothers, 0
2010(83rd), The Social Network, David Fincher, 0
2010(83rd), The Fighter, David O. Russell, 0
2011(84th), The Artist, Michel Hazanavicius, 1
2011(84th), Midnight in Paris, Woody Allen, 0
2011(84th), The Tree of Life, Terrence Malick, 0
2011(84th), The Descendants, Alexander Payne, 0
2011(84th), Hugo, Martin Scorsese, 0
2012(85th), Life of Pi, Ang Lee, 1
2012(85th), Amour, Michael Haneke, 0
2012(85th), Silver Linings Playbook, David O. Russell, 0
2012(85th), Lincoln, Steven Spielberg, 0
2012(85th), Beasts of the Southern Wild, Benh Zeitlin, 0
2013(86th), Gravity, Alfonso Cuarón, 1
2013(86th), 12 Years a Slave, Steve McQueen, 0
2013(86th), Nebraska, Alexander Payne, 0
2013(86th), American Hustle, David O. Russell, 0
2013(86th), The Wolf of Wall Street, Martin Scorsese, 0
2014(87th), Birdman, Alejandro González Iñárritu, 1
2014(87th), The Grand Budapest Hotel, Wes Anderson, 0
2014(87th), Boyhood, Richard Linklater, 0
2014(87th), Foxcatcher, Bennett Miller, 0
2014(87th), The Imitation Game, Morten Tyldum, 0
2015 (88th), The Revenant, Alejandro González Iñárritu, 1
2015 (88th), Room, Lenny Abrahamson, 0
2015 (88th), Spotlight, Tom McCarthy, 0
2015 (88th), The Big Short, Adam McKay, 0
2015 (88th), Mad Max: Fury Road, George Miller, 0
2016 (89th), La La Land, Damien Chazelle, 1
2016 (89th), Hacksaw Ridge, Mel Gibson, 0
2016 (89th), Moonlight, Barry Jenkins, 0
2016 (89th), Manchester by the Sea, Kenneth Lonergan, 0
2016 (89th), Arrival, Denis Villeneuve, 0
2017 (90th), The Shape of Water, Guillermo del Toro, 1
2017 (90th), Phantom Thread, Paul Thomas Anderson, 0
2017 (90th), Lady Bird, Greta Gerwig, 0
2017 (90th), Dunkirk, Christopher Nolan, 0
2017 (90th), Get Out, Jordan Peele, 0
2018 (91st), Roma, Alfonso Cuarón, 1
2018 (91st), The Favourite, Yorgos Lanthimos, 0
2018 (91st), BlacKkKlansman, Spike Lee, 0
2018 (91st), Vice, Adam McKay, 0
2018 (91st), Cold War, Paweł Pawlikowski, 0
2019 (92nd), Parasite, Bong Joon-ho, 1
2019 (92nd), 1917, Sam Mendes, 0
2019 (92nd), Joker, Todd Phillips, 0
2019 (92nd), The Irishman, Martin Scorsese, 0
2019 (92nd), Once Upon a Time in Hollywood, Quentin Tarantino, 0
2020/21(93rd), Nomadland, Chloé Zhao, 1
2020/21(93rd), Minari, Lee Isaac Chung, 0
2020/21(93rd), Promising Young Woman, Emerald Fennell, 0
2020/21(93rd), Mank, David Fincher, 0
2020/21(93rd), Another Round, Thomas Vinterberg, 0
